Throughput,AvgLatency,NumThreads,RepDegree,KeyRange,SystemSize
50469.4,146.796,8,1,10000000,5
46979.2,158.658,8,1,100000,5
44917.6,153.312,8,1,1000000,5
49029.2,147.324,8,1,10000000,5
14380.4,328.59,8,2,10000,5
41329.1,180.314,8,2,100000,5
41884.8,177.041,8,2,1000000,5
43361.4,169.013,8,2,10000000,5
39729.8,186.131,8,3,100000,5
14414.6,229.209,8,3,1000000,5
43149.9,168.639,8,3,10000000,5
