system_size,replication_degree,key_range,lat_us_avg,lat_us_p50,lat_us_p90,lat_us_p99,election_lat,thru_avg_ops_s
3,1,1000000,177.557,171.533,249.635,305.6,139.858,5631.19
4,1,1000000,173.78,172.013,235.951,262.292,127.848,5753.61
5,1,1000000,176.417,172.078,240.886,265.575,115.771,5667.59
6,1,1000000,176.698,173.51,240.64,265.477,139.823,5658.58
7,1,1000000,184.206,173.746,252.391,306.266,134.25,5427.96
8,1,1000000,193.934,181.118,254.253,343.655,132.258,5155.65
9,1,1000000,198.536,185.179,261.784,346.561,134.441,5036.22
10,1,1000000,195.349,186.21,259.993,338.082,131.386,5118.37
