Throughput,AvgLatency,NumThreads,RepDegree,KeyRange,SystemSize
4474.73,222.915,1,1,1000000,5
9334.89,210.212,2,1,1000000,5
16176,178.073,3,1,1000000,5
21364.3,176.243,4,1,1000000,5
26860.1,174.845,5,1,1000000,5
35048.2,163.394,6,1,1000000,5
41713.9,155.092,7,1,1000000,5
45539.4,146.173,8,1,1000000,5
13664.7,201.838,9,1,1000000,5
66515.9,140.345,10,1,1000000,5
68745.2,141.796,11,1,1000000,5
71592.9,143.422,12,1,1000000,5
