Throughput,AvgLatency,NumThreads,RepDegree,KeyRange,SystemSize
64939.3,110.402,8,1,1000000,2
52952.1,137.382,8,1,1000000,3
47664.4,148.386,8,1,1000000,4
45731,152.136,8,1,1000000,5
